Year,Region,Median annual income ($)
2015,Australia,46999
2015,New South Wales,47500
2015,Greater Sydney,50085
2015,Rest of NSW,43003
2015,Victoria,45868
2015,Greater Melbourne,47335
2015,Rest of Vic.,41269
2015,Queensland,45956
2015,Greater Brisbane,48600
2015,Rest of Qld,43472
2015,South Australia,45316
2015,Greater Adelaide,46688
2015,Rest of SA,40170
2015,Western Australia,51953
2015,Greater Perth,52963
2015,Rest of WA,47548
2015,Tasmania,42869
2015,Greater Hobart,45420
2015,Rest of Tas.,40912
2015,Northern Territory,54708
2015,Greater Darwin,58731
2015,Rest of NT,45162
2016,Australia,48413
2016,New South Wales,49256
2016,Greater Sydney,51814
2016,Rest of NSW,44656
2016,Victoria,47469
2016,Greater Melbourne,48878
2016,Rest of Vic.,42664
2016,Queensland,47177
2016,Greater Brisbane,49942
2016,Rest of Qld,44593
2016,South Australia,46619
2016,Greater Adelaide,48066
2016,Rest of SA,41275
2016,Western Australia,52691
2016,Greater Perth,53727
2016,Rest of WA,48501
2016,Tasmania,44135
2016,Greater Hobart,46800
2016,Rest of Tas.,42024
2016,Northern Territory,56783
2016,Greater Darwin,60821
2016,Rest of NT,48334
2017,Australia,49083
2017,New South Wales,49815
2017,Greater Sydney,52208
2017,Rest of NSW,45289
2017,Victoria,48219
2017,Greater Melbourne,49696
2017,Rest of Vic.,43648
2017,Queensland,47697
2017,Greater Brisbane,50470
2017,Rest of Qld,44987
2017,South Australia,47302
2017,Greater Adelaide,48792
2017,Rest of SA,41740
2017,Western Australia,52069
2017,Greater Perth,53159
2017,Rest of WA,47775
2017,Tasmania,44680
2017,Greater Hobart,47230
2017,Rest of Tas.,42623
2017,Northern Territory,55976
2017,Greater Darwin,60437
2017,Rest of NT,45659
2018,Australia,50861
2018,New South Wales,51612
2018,Greater Sydney,54123
2018,Rest of NSW,47253
2018,Victoria,50019
2018,Greater Melbourne,51472
2018,Rest of Vic.,45571
2018,Queensland,49451
2018,Greater Brisbane,52150
2018,Rest of Qld,46695
2018,South Australia,49109
2018,Greater Adelaide,50518
2018,Rest of SA,43482
2018,Western Australia,53956
2018,Greater Perth,55007
2018,Rest of WA,49265
2018,Tasmania,46080
2018,Greater Hobart,48423
2018,Rest of Tas.,44200
2018,Northern Territory,57912
2018,Greater Darwin,62379
2018,Rest of NT,47557
