Year,Region,% with Bachelors
2011,Australia,13.3
2011,New South Wales,14.1
2011,Greater Sydney,16.9
2011,Rest of NSW,9.1
2011,Victoria,14.7
2011,Greater Melbourne,16.6
2011,Rest of Vic.,9.1
2011,Queensland,11.7
2011,Greater Brisbane,14.5
2011,Rest of Qld,9.2
2011,South Australia,11.6
2011,Greater Adelaide,13.2
2011,Rest of SA,6.4
2011,Western Australia,13
2011,Greater Perth,14.4
2011,Rest of WA,8.1
2011,Tasmania,10.3
2011,Greater Hobart,13.2
2011,Rest of Tas.,8.2
2011,Northern Territory,10.4
2011,Greater Darwin,12.1
2011,Rest of NT,8
2016,Australia,15.1
2016,New South Wales,16
2016,Greater Sydney,19.2
2016,Rest of NSW,10.3
2016,Victoria,16.5
2016,Greater Melbourne,18.5
2016,Rest of Vic.,10.2
2016,Queensland,13
2016,Greater Brisbane,15.9
2016,Rest of Qld,10.3
2016,South Australia,13
2016,Greater Adelaide,14.8
2016,Rest of SA,7.1
2016,Western Australia,14.8
2016,Greater Perth,16.4
2016,Rest of WA,8.8
2016,Tasmania,11.2
2016,Greater Hobart,14.1
2016,Rest of Tas.,8.9
2016,Northern Territory,11.7
2016,Greater Darwin,13.9
2016,Rest of NT,8.1
